,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
X1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
X2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
X3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
X4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
X5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
X7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
X8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
X9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
X11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
X14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
X17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
